start	end	text
0	6760	今日の会が脆い
6760	8480	毎回
8480	11540	今日の会バリが脆い
11540	13080	始める?
13400	14320	うん全然OK
14320	15980	明けましておめでとうございます
15980	17240	おめでとうございます
17240	19640	今年もよろしくお願いします
19640	21220	どうぞよろしくお願いします
21220	23820	いや2026年ですね
23820	25740	はい1月今日は
25740	27060	2日
27060	27640	2日
27640	29280	2日ですね
29280	31920	2日の19時45分
31920	33100	2人で
33100	34280	集合しまして
34280	37840	車の中におります
37840	38760	撮っております
38760	40720	ドライブはしてませんが
40720	42340	車の中で
42340	44060	ドライブしようと思ったら
44060	47260	ドライブする必要ないってことに気づきました
47260	49160	そのまま収録してます
49160	51200	目的地がないからね
51200	53040	やっぱり近い方がいいし
53040	55380	結局ボーンやしね
55380	55720	車の中
55720	58260	ゆっくり過ごせました
58260	61580	昼は
61580	64140	おじいちゃん家行って
64140	65860	夜作業して
65860	68540	夜ちゃんと働いたんですね
68540	71140	ちゃんと働いてしまったんです
71140	73540	働いてる感覚ないんでね
73540	74180	わかる
74180	77380	リズムがあるけん
77380	78620	仕事せんとさ
78620	80960	もうだめだ
80960	84420	依存症とかさ
84420	86340	悪い意味じゃなく
86340	88020	リズムができるやっぱ
88020	91480	朝起きてやること整理して
91480	93800	よしこれで今日一日過ごそう
93800	96380	がないと逆にきつかった
96380	97960	何してんだろうみたいな
97960	100720	今思い浮かべた仕事っていうのは
100720	103100	はるか的には台本作ったりとか
103100	105540	ティーチャーの台本もそうやし
105540	108580	年明けのミーティングのスケジュールとかさ
108580	110480	ここにミーティングあるから
110480	111600	ここで準備しようとか
111600	113040	整理したり
113040	117080	逆に行き当たりばったりじゃ無理なの
117080	120000	っていうのがあったりとかして
120000	121680	こんなのはいいんですよ
121680	123500	ということで今日はですね
123500	123740	はい
123740	126180	2026年
126180	129340	新年の目標を立てましょうと
129340	130400	立てよう
130400	131340	大事な会
131340	132200	ということですね
132200	133760	去年覚えと
133760	135460	去年バッチリ覚えてますよ
135460	136380	3つ目標
136380	137080	はいはいはい
137080	139440	家で書き初めしたのを紹介したと思うんやけど
139440	141200	しっかり稼ぐ
141200	142360	稼ぐ
142360	143440	心ここにあり
143440	144780	心ここにあり
144780	146180	無責任
146180	146780	無責任
146780	148660	どうでしたかそれは
148660	150980	この振り返りから行く?行っていい?
152720	153980	しっかり稼ぐは
153980	156320	しっかり稼げたかは分からんけど
156320	157540	継続はできたので
157540	159820	1年間生き延びたね
159820	162120	まあ頑張ったでしょう
162120	165000	心ここにありは
165000	167900	気を抜くと心ここにあらずになっちゃうから
167900	171160	現実に引き戻してもらおうと思って
171160	172640	作った言葉やったんやけど
172640	174120	効果はあった
174120	176700	割と心ここにあらずだったね
176700	179220	失敗と
179220	181100	そんなことないよ
181100	184560	ずっと心ここにありとかはないからさ
184560	188700	ふと気づくたびに心ここにあらずなってるから
188700	191460	ここに集中しようみたいな
191460	192380	いいお守りだった
192380	194260	確かにお守りとしてはすごいいい言葉
194260	197840	それは目標の効果としては相当良さそう
197840	199620	あとは無責任か
199620	203800	でも責任を感じすぎましたね
203800	205680	感じまくりだったんで
205680	207280	そこはあんまり
207280	209480	だからそういう時に
209480	210340	無責任無責任
210340	212340	って思えてもなかったので
212340	215260	これはお守りにはならず
215260	218220	でもいい目標だったと思います
218220	219200	僕の
219200	221400	ひとしのスタンスとして
221400	224620	こうしなきゃいけないって
224620	227960	思いすぎて結局動けんかったら意味ないけん
227960	229220	ちっちゃなスモールスタート
229220	232440	ちっちゃなスタートを切っていこうみたいなスタンスは
232440	234120	2025年かなり感じて
234120	234480	なるほど
234480	236480	そっちが本質やったね
236480	238020	だとしたら
238020	240940	スモールステップでいろんなことをやったので
240940	241720	いっぱいしとったよね
241720	242940	いっぱいチャレンジして
242940	244340	結果的にさ
244340	248660	いい形で責任を全うするみたいな
248660	250100	責任に
250100	251840	動かされたわけじゃなくて
251840	254120	自分のやりたいからスモールさとして
254120	256300	本当にやりたいからこそ
256300	257300	責任を果たすみたいな
257300	258960	いい状態に見えておりました
258960	259960	よかった
259960	261800	というふりっかりでした
261800	263780	というふうにありまして
263780	266780	僕は等身大でしたね
266780	271800	等身大はかなり後ほど話したいんですけど意識できました
271800	275040	なんか力抜けた感じ
275040	276780	確かにだいぶ変わった気がするね
276780	278840	この1年でかわからんけど
278840	282240	もうほんと徐々に徐々に等身大でいこうと
282240	283720	そうなんかね
283720	290000	常に今この場で自分はどういう振る舞いが求められているかを考えてた
290000	291080	考えるよね
291080	294140	20代前半学生時代もそうだったんだけど
294140	298940	ある種自分のありたいスタンスみたいなのを持って
298940	300700	仕事に臨んだり
300700	305120	友達との会話に臨んだりすることができて
305120	306760	すごい気が楽だし
306760	310200	気が楽な方が楽しくご機嫌でいられて
310200	310980	いいな
310980	316720	結果的にそれが周りを楽しませることができたこともあったし
316720	317720	という感じで
317720	320540	等身大っていうあり方はすごく
320540	321660	まだまだやるからね
321660	323440	まだまだ気づいたらやっぱ力入って
323440	325680	まだまだ気づいたら気使って
325680	328240	逆に気使わせるみたいなことが起きてるから
328240	330520	まだまだ継続してやっていきたいんですけども
330520	330820	ニース
330820	333800	いや俺も2026年それにしたいわ
333800	336160	ちょっと待って
336160	338100	今日はね
338100	341100	そもそもなんで目標立てるんだっけっていう
341100	342040	そこからね
342040	343440	疑いから入りたかった
343440	346500	だけど今目標の良さを
346500	347620	味わいすぎてて
347620	349300	振り返っちゃったもん
349300	351900	この話いいかなと思っている
351900	354120	いやいや一応知りたいよ
354120	354400	だって
354400	357660	ちょっと盲目的に今信じそうになってた
357660	358140	そうよね
358140	361880	改めて目標を立てる意味を
361880	362500	とか
362500	365580	何のために目標を立てるんだっけ
365580	367740	みたいなところを
367740	370220	ちゃんと噛み締めた方が
370220	372280	もっと味わい深い目標ができるんじゃないか
372280	372760	そうね
372760	374640	信念やっぱね
374640	376900	ゆっくり考える時間があって
376900	380940	そんなところから考えられたんですよね
380940	382880	みんな目標立てるしね
382880	385700	でも盲目的に目標立てるより
385700	389640	このためにこんな目標の作り方したら
389640	393040	もっと2026年いい年になるって
393040	396060	確信した考え方に出会いましたね
396060	396560	すご
396560	401840	めちゃくちゃいい大晦日と新年でした
401840	406940	今日ね何のために目標を立てるかっていうところで
406940	409740	年末年始ね
409740	411260	友野一徳さんっていう
411260	413360	教育哲学者の方の
413360	415960	言葉にずっと触れてた
415960	418120	ゆったりね
418120	421120	今年ちょっとゆとりがあったけん
421120	423280	そもそも何のために
423280	426020	人は何を求めてるんだっけとか
426020	428320	何が幸せなんだっけみたいなものをちょっとね
428320	429320	そこからね
429320	432720	考えて前向きに考えてみたっていう背景があったよね
432720	436940	目標考える前にさ目標ってこれしたいあれしたいとか
436940	439540	これできるようになりたいとかあるやん
439540	443220	もっと根源的に人は何を求めて生きてるんだろうね
443220	446780	何を求めて生きてるか
446780	449900	根源的にどんな欲求があるんだろうね
449900	456420	ここを掴むとさこの目的に基づいて目標を立てようって
456420	457740	なるほどね
457740	459180	いけそうな気がしてて
459180	461640	成長している実感を
461640	463080	得たい
463080	466820	じゃあ人々は成長するという
466820	469180	根源的に欲求としてあるんじゃないかと
469180	471200	いやー根源的にはないか
471200	472000	なんでないか
472000	475180	もっと根源的なものがありそう
475180	478080	成長せんでも幸せやんっていうのもあって
478080	479220	成長だけではない
479220	480740	全然僕は成長しなくて
480740	483140	ただあるだけでいいんですとかっていう方も
483140	484220	いるしね
484220	486560	って思うと難しい
486560	492340	それは友野一徳さんがヒントをくれる感じなのか
492340	498440	これはもう一回実はティーチャーティーチャーでも話してるんですけども
498440	503040	そもそも人は根源的に自由
503040	508620	生きたいように生きているという実感を持ちたいという欲求を持っていますと
508620	511340	これ聞いてどう思った?
512480	515200	確かに現代の人はそうかもって思った
515200	518080	昔はさもっとさ
518080	520060	じゃあピラミッド立てるぞって言ってさ
520060	522800	自分の人生の中じゃピラミッド完成せんけど
522800	524720	一パーツとしてでも
524720	526000	全うして
526000	527520	この世からいなくなる
527520	530240	っていうのが当たり前やったのかな
530240	531000	なるほどね
531000	534720	確かに形としてはそういう生き方をして
534720	537400	せざるを得なかったのかもしれないけど
