start	end	text
0	4000	キーちゃんキーちゃん
6000	7000	2本目ですね
7000	8000	意味のない
8000	9000	ブルブル
9000	10000	意味のないドライブ
10000	12000	意味のないドライブと
12000	13000	意味のない話
13000	14000	シリーズですね
14000	15000	2本目
15000	16000	はい
16000	18000	俺も話したいことがありまして
18000	19000	うんうん
19000	22000	何個かあったんけどどれにしようかな
22000	23000	ああ
23000	24000	何個もあるんや
24000	25000	なんか
25000	31400	なんか哲学系の話か
31400	31900	うん
31900	36880	哲学系の話が多いか
36880	37400	うん
37400	39920	哲学系の話か
39920	40360	うん
40360	42640	無邪気な疑問系か
42640	43140	うん
43140	44200	どっちがいい?
45640	46840	無邪気な疑問系
46840	46960	あー
46960	48560	なんかさ
48560	49680	そっちなんか話したそうな
49680	51020	声の通りだった
51020	52440	すごい
52440	53860	本当意味ないよ
53860	54240	うん
54240	57240	居酒屋で俺お酒飲むときさ
57240	59180	結構飲むやん
59180	61020	速いよねスピードが
61020	62880	スピードもねちょっと好きやから
62880	64540	家でさ
64540	67280	缶ビール1本飲んだらさ
67280	69180	めっちゃ酔って
69180	70520	満足するやん
70520	72240	あれ何なんやの?
73700	74300	あー
74300	78540	全然答えありそう
78540	79680	普通にね
79680	82100	なんなんやろ
82100	87300	普通になんか一般的な話からまず切り込んでみていい?
87300	87800	うん
87800	89800	安心感は言うよね?
89800	90800	あー家の方がね
90800	93500	リラックス、腹交換神経言うやっけ?
93500	94600	あーそうだな
94600	95600	うん
95600	98100	リラックスしとったら
98100	99100	うん
99100	100800	酔いやすいみたいな
100800	101600	言うよね?
101600	102300	言うよね
102300	102800	うん
102800	105800	なんで
105800	109100	家の方がリラックスしてるの?っていう話
109100	110300	あーそこね
110300	111300	うん
111300	113300	うん?
113300	115300	そうね
115300	119300	確かに特に家でも
119300	123300	よし!もう今日やることなんもないっていうシチュエーション
123300	127300	整えれた時に
127300	129300	特に発動するかもしれない
129300	131300	ヨイの速さを
131300	135300	満足すぐ満足する
135300	142300	これはさ、
142300	149300	あれだね、相対整理論みたいな話やん。
149300	151300	相対整理論。
151300	157300	アルコールの量は絶対なのに、それの体感が違うやん。
157300	161300	相対整理論みたいな話やん。
161300	168300	外で飲むと、たくさんの量を飲むやん。
168300	172300	でも、酔い度は少なの。
172300	180300	でも、家やと、ちょっとの量で酔いが大きい。
180300	181300	うん
181300	183500	つまり
183500	186460	これ好きな人と一緒にいると
186460	188120	時間が短いけど
188120	190460	みたいな
190460	193460	初めてのことが多いと
193460	195660	時間が長く感じるけど
195660	200400	慣れたことルーティンばっかやると
200400	204080	すぐに1年経っちゃう
204080	206300	話か
206300	207920	違うね
207920	211360	やばい、うわぁ、このテーマじゃなかったか
211360	212900	いやいや、大丈夫、まだ諦めてない
212900	214400	まだ諦めて、ごめんなさい、行きましょう
214400	218100	相対性理論じゃないことが分かったので、全然良くて
218100	223920	相対性理論で考えてみようと思ったけど、違ったっていう気づきがあったよね
223920	227420	で、何をそれで知りたいの?
227420	228740	そこだね
228740	229240	うん
229240	234500	俺がなんでこのテーマを出したかっていうところを深掘ると
234500	235620	確かに確かに、それを知りたい
235620	237740	めっちゃ変わるわ、話が
237740	239740	ガラッと。面白。
240280	242280	いやいや。そういうことか。
244360	245360	面白いわ。
245360	246940	はいはい。
246940	248940	全然話が終わるわ、そしたら。
248940	250940	あのー。
252400	255400	最近結構忙しかったっけ。
255400	256400	うん。
256400	258400	あのー。
259160	261160	あんま家で飲む機会なかったよね。
